id,soil_moi,soil_mass,root_mass,BF,FF,PL,PR,OM,UN,no_nem
94,7.590835455,3.5802,0.0224,115,1,41,0,7,27,191
95,4.165954294,1.9711,0.0082,193,4,1,3,0,21,222
96,0.473036897,4.2096,0.0108,374,82,33,57,9,51,606
97,3.9971041,2.6952,0.0044,32,16,25,5,0,15,93
98,1.153972964,5.0483,0.0138,18,3,1,0,0,4,26
99,1.003411599,1.2423,0.0073,17,7,64,1,0,9,98
100,5.109870945,3.9023,0.0335,48,5,2,0,9,50,114
101,2.386849809,3.5364,0.0122,5,5,13,0,1,5,29
102,0.665362035,3.9212,0.0235,13,0,2,2,1,10,28
103,1.753642384,4.7226,0.0085,22,1,1,1,0,7,32
104,1.29393785,5.8886,0.0179,28,1,6,0,3,1,39
105,1.020660137,0.8929,0.0063,7,16,6,0,1,2,32
106,1.280188222,7.1774,0.0222,29,69,41,1,6,26,172
107,5.886745488,7.1508,0.0767,73,41,13,0,0,12,139
108,2.047865778,5.3028,0.0032,0,0,2,0,0,0,2
109,6.351957202,10.6329,0.0105,32,13,36,0,3,23,107
110,4.773393073,1.3498,0.0069,102,48,57,1,2,32,242
111,6.485981308,2.5051,0.0112,133,7,27,23,0,329,519
